NEAREST NEIGHBOR COMPARISON REPORT
==================================
Total targets compared: 500
Neighbors per target: 10
Comparison: Drop NaN vs. Fill NaN with Median (kurtosis_r)

ObjectID             | Overlap (Cnt)   | Overlap (%)    
ZTF19adcppty         | 10              | 100.0          
ZTF20abodemf         | 10              | 100.0          
ZTF18aavvnbp         | 10              | 100.0          
ZTF24abakfue         | 10              | 100.0          
ZTF21aapkgmk         | 10              | 100.0          
ZTF18abrwpxp         | 10              | 100.0          
ZTF18ablxcyt         | 10              | 100.0          
ZTF19achsyhc         | 10              | 100.0          
ZTF19abuvxry         | 10              | 100.0          
ZTF18abasjwg         | 10              | 100.0          
ZTF20abfsvyp         | 10              | 100.0          
ZTF19aanoxqu         | 10              | 100.0          
ZTF18aculnkt         | 10              | 100.0          
ZTF18aaqscbs         | 10              | 100.0          
ZTF21aavgnue         | 10              | 100.0          
ZTF19abupnqa         | 10              | 100.0          
ZTF21abjdrsc         | 10              | 100.0          
ZTF18aakzltr         | 10              | 100.0          
ZTF19abykybb         | 10              | 100.0          
ZTF19aaoijkm         | 10              | 100.0          
ZTF18acmftqb         | 10              | 100.0          
ZTF19aazhkti         | 10              | 100.0          
ZTF20aclxzpm         | 10              | 100.0          
ZTF18abppwgn         | 10              | 100.0          
ZTF18abdrqgs         | 10              | 100.0          
ZTF19abscwgq         | 10              | 100.0          
ZTF19aascbwi         | 10              | 100.0          
ZTF18abnpzpq         | 10              | 100.0          
ZTF24abvtqrk         | 10              | 100.0          
ZTF19abbzgct         | 10              | 100.0          
ZTF23aazqgax         | 10              | 100.0          
ZTF18abdjphb         | 10              | 100.0          
ZTF24abkkmtd         | 10              | 100.0          
ZTF18abskphw         | 10              | 100.0          
ZTF19abcfcsv         | 10              | 100.0          
ZTF18abmdfww         | 10              | 100.0          
ZTF21abowkrk         | 10              | 100.0          
ZTF19aacmhmt         | 10              | 100.0          
ZTF18abiokxm         | 10              | 100.0          
ZTF19adallim         | 10              | 100.0          
ZTF21aairwcf         | 10              | 100.0          
ZTF18abgrsye         | 10              | 100.0          
ZTF19abzwvtf         | 10              | 100.0          
ZTF17aabvaos         | 10              | 100.0          
ZTF18aabpziy         | 10              | 100.0          
ZTF20aaugtok         | 10              | 100.0          
ZTF20acvhgdc         | 10              | 100.0          
ZTF20acgjtia         | 10              | 100.0          
ZTF24aauhvsa         | 10              | 100.0          
ZTF17aabopel         | 10              | 100.0          
ZTF18abqcurh         | 10              | 100.0          
ZTF20abmuhiy         | 10              | 100.0          
ZTF19aaxahes         | 10              | 100.0          
ZTF19aaqttiq         | 10              | 100.0          
ZTF23aalokht         | 10              | 100.0          
ZTF18abrnltm         | 10              | 100.0          
ZTF20actvujt         | 10              | 100.0          
